ICD_CODE,LONG_DESCRIPTION,ELIXHAUSER_GROUP
J63.0,Aluminosis (of lung),CHRONIC_PULMONARY_DISEASE
J63.1,Bauxite fibrosis (of lung),CHRONIC_PULMONARY_DISEASE
J63.2,Berylliosis,CHRONIC_PULMONARY_DISEASE
J63.3,Graphite fibrosis (of lung),CHRONIC_PULMONARY_DISEASE
J63.4,Siderosis,CHRONIC_PULMONARY_DISEASE
J63.5,Stannosis,CHRONIC_PULMONARY_DISEASE
J63.8,Pneumoconiosis due to other specified inorganic dusts,CHRONIC_PULMONARY_DISEASE
J64.,Unspecified pneumoconiosis,CHRONIC_PULMONARY_DISEASE
J65.,Pneumoconiosis associated with tuberculosis,CHRONIC_PULMONARY_DISEASE
J66.0,Byssinosis,CHRONIC_PULMONARY_DISEASE
J66.1,Flax-dresser's disease,CHRONIC_PULMONARY_DISEASE
J66.2,Cannabinosis,CHRONIC_PULMONARY_DISEASE
J66.8,Airway disease due to other specific organic dusts,CHRONIC_PULMONARY_DISEASE
J67.0,Farmer's lung,CHRONIC_PULMONARY_DISEASE
J67.1,Bagassosis,CHRONIC_PULMONARY_DISEASE
J67.2,Bird fancier's lung,CHRONIC_PULMONARY_DISEASE
J67.3,Suberosis,CHRONIC_PULMONARY_DISEASE
J67.4,Maltworker's lung,CHRONIC_PULMONARY_DISEASE
J67.5,Mushroom-worker's lung,CHRONIC_PULMONARY_DISEASE
J67.6,Maple-bark-stripper's lung,CHRONIC_PULMONARY_DISEASE
J67.7,Air-conditioner and humidifier lung,CHRONIC_PULMONARY_DISEASE
J67.8,Hypersensitivity pneumonitis due to other organic dusts,CHRONIC_PULMONARY_DISEASE
J67.9,Hypersensitivity pneumonitis due to unspecified organic dust,CHRONIC_PULMONARY_DISEASE
J68.4,"Chronic respiratory conditions due to chemicals, gases, fumes and vapours",CHRONIC_PULMONARY_DISEASE
J70.1,Chronic and other pulmonary manifestations due to radiation,CHRONIC_PULMONARY_DISEASE
J70.3,Chronic drug-induced interstitial lung disorders,CHRONIC_PULMONARY_DISEASE
K25.7,"Gastric ulcer, chronic without haemorrhage or perforation",PEPTIC_ULCER_EXCLUDING_BLEEDING
K25.9,"Gastric ulcer, unspecified as acute or chronic, without haemorrhage or perforation",PEPTIC_ULCER_EXCLUDING_BLEEDING
K26.7,"Duodenal ulcer, chronic without haemorrhage or perforation",PEPTIC_ULCER_EXCLUDING_BLEEDING
K26.9,"Duodenal ulcer, unspecified as acute or chronic, without haemorrhage or perforation",PEPTIC_ULCER_EXCLUDING_BLEEDING
K27.7,"Peptic ulcer, chronic without haemorrhage or perforation",PEPTIC_ULCER_EXCLUDING_BLEEDING
K27.9,"Peptic ulcer, unspecified as acute or chronic, without haemorrhage or perforation",PEPTIC_ULCER_EXCLUDING_BLEEDING
K28.7,"Gastrojejunal ulcer, chronic without haemorrhage or perforation",PEPTIC_ULCER_EXCLUDING_BLEEDING
K28.9,"Gastrojejunal ulcer, unspecified as acute or chronic, without haemorrhage or perforation",PEPTIC_ULCER_EXCLUDING_BLEEDING
K29.2,Alcoholic gastritis,ALCOHOL_ABUSE
K55.1,Chronic vascular disorders of intestine,PERIPHERAL_VASCULAR_DISORDERS
K55.8,Other vascular disorders of intestine,PERIPHERAL_VASCULAR_DISORDERS
K55.9,"Vascular disorder of intestine, unspecified",PERIPHERAL_VASCULAR_DISORDERS
K70.0,Alcoholic fatty liver,LIVER_DISEASE
K70.0,Alcoholic fatty liver,ALCOHOL_ABUSE
K70.1,Alcoholic hepatitis,LIVER_DISEASE
K70.2,Alcoholic fibrosis and sclerosis of liver,LIVER_DISEASE
K70.3,Alcoholic cirrhosis of liver,ALCOHOL_ABUSE
K70.3,Alcoholic cirrhosis of liver,LIVER_DISEASE
K70.4,Alcoholic hepatic failure,LIVER_DISEASE
K70.9,"Alcoholic liver disease, unspecified",ALCOHOL_ABUSE
