ICD_CODE,LONG_DESCRIPTION,ELIXHAUSER_GROUP
M08.81,"Other juvenile arthritis, shoulder region",RHEUMATOID_ARTHRITIS
M08.82,"Other juvenile arthritis, upper arm",RHEUMATOID_ARTHRITIS
M08.83,"Other juvenile arthritis, forearm",RHEUMATOID_ARTHRITIS
M08.84,"Other juvenile arthritis, hand",RHEUMATOID_ARTHRITIS
M08.85,"Other juvenile arthritis, pelvic region and thigh",RHEUMATOID_ARTHRITIS
M08.86,"Other juvenile arthritis, lower leg",RHEUMATOID_ARTHRITIS
M08.87,"Other juvenile arthritis, ankle and foot",RHEUMATOID_ARTHRITIS
M08.88,"Other juvenile arthritis, other site",RHEUMATOID_ARTHRITIS
M08.89,"Other juvenile arthritis, site unspecified",RHEUMATOID_ARTHRITIS
M08.90,"Juvenile arthritis, unspecified, multiple sites",RHEUMATOID_ARTHRITIS
M08.91,"Juvenile arthritis, unspecified, shoulder region",RHEUMATOID_ARTHRITIS
M08.92,"Juvenile arthritis, unspecified, upper arm",RHEUMATOID_ARTHRITIS
M08.93,"Juvenile arthritis, unspecified, forearm",RHEUMATOID_ARTHRITIS
M08.94,"Juvenile arthritis, unspecified, hand",RHEUMATOID_ARTHRITIS
M08.95,"Juvenile arthritis, unspecified, pelvic region and thigh",RHEUMATOID_ARTHRITIS
M08.96,"Juvenile arthritis, unspecified, lower leg",RHEUMATOID_ARTHRITIS
M08.97,"Juvenile arthritis, unspecified, ankle and foot",RHEUMATOID_ARTHRITIS
M08.98,"Juvenile arthritis, unspecified, other site",RHEUMATOID_ARTHRITIS
M08.99,"Juvenile arthritis, unspecified, site unspecified",RHEUMATOID_ARTHRITIS
M12.00,"Chronic postrheumatic arthropathy [Jaccoud], multiple sites",RHEUMATOID_ARTHRITIS
M12.01,"Chronic postrheumatic arthropathy [Jaccoud], shoulder region",RHEUMATOID_ARTHRITIS
M12.02,"Chronic postrheumatic arthropathy [Jaccoud], upper arm",RHEUMATOID_ARTHRITIS
M12.03,"Chronic postrheumatic arthropathy [Jaccoud], forearm",RHEUMATOID_ARTHRITIS
M12.04,"Chronic postrheumatic arthropathy [Jaccoud], hand",RHEUMATOID_ARTHRITIS
M12.05,"Chronic postrheumatic arthropathy [Jaccoud], pelvic region and thigh",RHEUMATOID_ARTHRITIS
M12.06,"Chronic postrheumatic arthropathy [Jaccoud], lower leg",RHEUMATOID_ARTHRITIS
M12.07,"Chronic postrheumatic arthropathy [Jaccoud], ankle and foot",RHEUMATOID_ARTHRITIS
M12.08,"Chronic postrheumatic arthropathy [Jaccoud], other site",RHEUMATOID_ARTHRITIS
M12.09,"Chronic postrheumatic arthropathy [Jaccoud], site unspecified",RHEUMATOID_ARTHRITIS
M12.30,"Palindromic rheumatism, multiple sites",RHEUMATOID_ARTHRITIS
M12.31,"Palindromic rheumatism, shoulder region",RHEUMATOID_ARTHRITIS
M12.32,"Palindromic rheumatism, upper arm",RHEUMATOID_ARTHRITIS
M12.33,"Palindromic rheumatism, forearm",RHEUMATOID_ARTHRITIS
M12.34,"Palindromic rheumatism, hand",RHEUMATOID_ARTHRITIS
M12.35,"Palindromic rheumatism, pelvic region and thigh",RHEUMATOID_ARTHRITIS
M12.36,"Palindromic rheumatism, lower leg",RHEUMATOID_ARTHRITIS
M12.37,"Palindromic rheumatism, ankle and foot",RHEUMATOID_ARTHRITIS
M12.38,"Palindromic rheumatism, other site",RHEUMATOID_ARTHRITIS
M12.39,"Palindromic rheumatism, site unspecified",RHEUMATOID_ARTHRITIS
M30.0,Polyarteritis nodosa,RHEUMATOID_ARTHRITIS
M30.1,Polyarteritis with lung involvement [Churg-Strauss],RHEUMATOID_ARTHRITIS
M30.2,Juvenile polyarteritis,RHEUMATOID_ARTHRITIS
M30.3,Mucocutaneous lymph node syndrome [Kawasaki],RHEUMATOID_ARTHRITIS
M30.8,Other conditions related to polyarteritis nodosa,RHEUMATOID_ARTHRITIS
M31.0,Hypersensitivity angiitis,RHEUMATOID_ARTHRITIS
M31.1,Thrombotic microangiopathy,RHEUMATOID_ARTHRITIS
M31.2,Lethal midline granuloma,RHEUMATOID_ARTHRITIS
M31.3,Granulomatosis with polyangiitis,RHEUMATOID_ARTHRITIS
M32.0,Drug-induced systemic lupus erythematosus,RHEUMATOID_ARTHRITIS
M32.1,Systemic lupus erythematosus with organ or system involvement,RHEUMATOID_ARTHRITIS
M32.8,Other forms of systemic lupus erythematosus,RHEUMATOID_ARTHRITIS
M32.9,"Systemic lupus erythematosus, unspecified",RHEUMATOID_ARTHRITIS
M33.0,Juvenile dermatomyositis,RHEUMATOID_ARTHRITIS
M33.1,Other dermatomyositis,RHEUMATOID_ARTHRITIS
M33.2,Polymyositis,RHEUMATOID_ARTHRITIS
M33.9,"Dermatopolymyositis, unspecified",RHEUMATOID_ARTHRITIS
M34.0,Progressive systemic sclerosis,RHEUMATOID_ARTHRITIS
M34.1,CR(E)ST syndrome,RHEUMATOID_ARTHRITIS
M34.2,Systemic sclerosis induced by drugs and chemicals,RHEUMATOID_ARTHRITIS
M34.8,Other forms of systemic sclerosis,RHEUMATOID_ARTHRITIS
M34.9,"Systemic sclerosis, unspecified",RHEUMATOID_ARTHRITIS
M35.0,Sicca syndrome [Sjogren],RHEUMATOID_ARTHRITIS
M35.1,Other overlap syndromes,RHEUMATOID_ARTHRITIS
M35.2,Behcet's disease,RHEUMATOID_ARTHRITIS
M35.3,Polymyalgia rheumatica,RHEUMATOID_ARTHRITIS
M35.4,Diffuse (eosinophilic) fasciitis,RHEUMATOID_ARTHRITIS
M35.5,Multifocal fibrosclerosis,RHEUMATOID_ARTHRITIS
M35.6,Relapsing panniculitis [Weber-Christian],RHEUMATOID_ARTHRITIS
M35.7,Hypermobility syndrome,RHEUMATOID_ARTHRITIS
M35.8,Other specified systemic involvement of connective tissue,RHEUMATOID_ARTHRITIS
M35.9,"Systemic involvement of connective tissue, unspecified",RHEUMATOID_ARTHRITIS
M45.00,"Ankylosing spondylitis, multiple sites in spine",RHEUMATOID_ARTHRITIS
M45.01,"Ankylosing spondylitis, occipito-atlanto-axial region",RHEUMATOID_ARTHRITIS
M45.02,"Ankylosing spondylitis, cervical region",RHEUMATOID_ARTHRITIS
M45.03,"Ankylosing spondylitis, cervicothoracic region",RHEUMATOID_ARTHRITIS
M45.04,"Ankylosing spondylitis, thoracic region",RHEUMATOID_ARTHRITIS
M45.05,"Ankylosing spondylitis, thoracolumbar region",RHEUMATOID_ARTHRITIS
M45.06,"Ankylosing spondylitis, lumbar region",RHEUMATOID_ARTHRITIS
M45.07,"Ankylosing spondylitis, lumbosacral region",RHEUMATOID_ARTHRITIS
M45.08,"Ankylosing spondylitis, sacral and sacrococcygeal region",RHEUMATOID_ARTHRITIS
M45.09,"Ankylosing spondylitis, site unspecified",RHEUMATOID_ARTHRITIS
M46.1,"Sacroiliitis, not elsewhere classified",RHEUMATOID_ARTHRITIS
M46.80,"Other specified inflammatory spondylopathies, multiple sites in spine",RHEUMATOID_ARTHRITIS
M46.81,"Other specified inflammatory spondylopathies, occipito-atlanto-axial region",RHEUMATOID_ARTHRITIS
M46.82,"Other specified inflammatory spondylopathies, cervical region",RHEUMATOID_ARTHRITIS
M46.83,"Other specified inflammatory spondylopathies, cervicothoracic region",RHEUMATOID_ARTHRITIS
M46.84,"Other specified inflammatory spondylopathies, thoracic region",RHEUMATOID_ARTHRITIS
M46.85,"Other specified inflammatory spondylopathies, thoracolumbar region",RHEUMATOID_ARTHRITIS
M46.86,"Other specified inflammatory spondylopathies, lumbar region",RHEUMATOID_ARTHRITIS
M46.87,"Other specified inflammatory spondylopathies, lumbosacral region",RHEUMATOID_ARTHRITIS
M46.88,"Other specified inflammatory spondylopathies, sacral and sacrococcygeal region",RHEUMATOID_ARTHRITIS
M46.89,"Other specified inflammatory spondylopathies, site unspecified",RHEUMATOID_ARTHRITIS
M46.90,"Unspecified inflammatory spondylopathy, multiple sites in spine",RHEUMATOID_ARTHRITIS
M46.91,"Unspecified inflammatory spondylopathy, occipito-atlanto-axial region",RHEUMATOID_ARTHRITIS
M46.92,"Unspecified inflammatory spondylopathy, cervical region",RHEUMATOID_ARTHRITIS
M46.93,"Unspecified inflammatory spondylopathy, cervicothoracic region",RHEUMATOID_ARTHRITIS
M46.94,"Unspecified inflammatory spondylopathy, thoracic region",RHEUMATOID_ARTHRITIS
M46.95,"Unspecified inflammatory spondylopathy, thoracolumbar region",RHEUMATOID_ARTHRITIS
M46.96,"Unspecified inflammatory spondylopathy, lumbar region",RHEUMATOID_ARTHRITIS
M46.97,"Unspecified inflammatory spondylopathy, lumbosacral region",RHEUMATOID_ARTHRITIS
M46.98,"Unspecified inflammatory spondylopathy, sacral and sacrococcygeal region",RHEUMATOID_ARTHRITIS
M46.99,"Unspecified inflammatory spondylopathy, site unspecified",RHEUMATOID_ARTHRITIS
N18.0,End-stage renal disease,RENAL_FAILURE
N18.8,Other chronic renal failure,RENAL_FAILURE
N18.9,"Chronic kidney disease, unspecified",RENAL_FAILURE
N18.90,Unspecified chronic renal failure,RENAL_FAILURE
N18.91,Chronic renal impairment,RENAL_FAILURE
N19.,Unspecified kidney failure,RENAL_FAILURE
N25.0,Renal osteodystrophy,RENAL_FAILURE
P29.0,Neonatal cardiac failure,CHF
Q23.0,Congenital stenosis and atresia of aortic valve,VALVULAR_DISEASE
Q23.1,Congenital insufficiency of aortic valve,VALVULAR_DISEASE
Q23.2,Congenital mitral stenosis and atresia,VALVULAR_DISEASE
Q23.3,Congenital mitral insufficiency,VALVULAR_DISEASE
R47.0,Dysphasia and aphasia,OTHER_NEUROLOGICAL_DISORDERS
R56.0,Febrile convulsions,OTHER_NEUROLOGICAL_DISORDERS
R56.8,Other and unspecified convulsions,OTHER_NEUROLOGICAL_DISORDERS
R63.4,Abnormal weight loss,WEIGHT_LOSS
R64.,Cachexia,WEIGHT_LOSS
T51.1,Toxic effect of methanol,ALCOHOL_ABUSE
T51.3,Toxic effect of fusel oil,ALCOHOL_ABUSE
T51.9,"Toxic effect of alcohol, unspecified",ALCOHOL_ABUSE
Z45.0,Adjustment and management of cardiac device,CARDIAC_ARRHYTHMIAS
Z49.0,Preparatory care for dialysis,RENAL_FAILURE
Z49.1,Extracorporeal dialysis,RENAL_FAILURE
Z49.2,Other dialysis,RENAL_FAILURE
Z50.2,Alcohol rehabilitation,ALCOHOL_ABUSE
Z71.4,Counselling and surveillance for alcohol use disorder,ALCOHOL_ABUSE
Z71.5,Counselling and surveillance for drug use disorder,DRUG_ABUSE
Z72.1,Alcohol use,ALCOHOL_ABUSE
Z72.2,Drug use,DRUG_ABUSE
Z94.0,Kidney transplant status,RENAL_FAILURE
Z94.4,Liver transplant status,LIVER_DISEASE
Z95.0,Presence of cardiac device,CARDIAC_ARRHYTHMIAS
Z95.2,Presence of prosthetic heart valve,VALVULAR_DISEASE
Z95.3,Presence of xenogenic heart valve,VALVULAR_DISEASE
Z95.4,Presence of other heart-valve replacement,VALVULAR_DISEASE
Z95.8,Presence of other cardiac and vascular implants and grafts,PERIPHERAL_VASCULAR_DISORDERS
Z95.9,"Presence of cardiac and vascular implant and graft, unspecified",PERIPHERAL_VASCULAR_DISORDERS
Z99.2,Dependence on kidney dialysis,RENAL_FAILURE
C97.,Malignant neoplasms of independent (primary) multiple sites,SOLID_TUMOR_WITHOUT_METASTASIS
E10.00,"Insulin-dependent diabetes mellitus with coma, not stated as uncontrolled",DIABETES_UNCOMPLICATED
E10.01,Type 1 diabetes mellitus with hyperosmolarity without nonketotic hyperglycaemic-hyperosmolar coma (NKHHC),DIABETES_UNCOMPLICATED
E10.10,"Insulin-dependent diabetes mellitus with ketoacidosis, not stated as uncontrolled",DIABETES_UNCOMPLICATED
E10.60,"Insulin-dependent diabetes mellitus with other specified complications, not stated as uncontrolled",DIABETES_COMPLICATED
E10.70,"Insulin-dependent diabetes mellitus with multiple complications, not stated as uncontrolled",DIABETES_COMPLICATED
E10.80,"Insulin-dependent diabetes mellitus with unspecified complications, not stated as uncontrolled",DIABETES_COMPLICATED
E10.81,"Insulin-dependent diabetes mellitus with unspecified complications, stated as uncontrolled",DIABETES_COMPLICATED
E10.90,"Insulin-dependent diabetes mellitus without complications, not stated as uncontrolled",DIABETES_UNCOMPLICATED
E10.91,"Insulin-dependent diabetes mellitus without complications, stated as uncontrolled",DIABETES_UNCOMPLICATED
E11.00,"Non-insulin-dependent diabetes mellitus with coma, not stated as uncontrolled",DIABETES_UNCOMPLICATED
E11.10,"Non-insulin-dependent diabetes mellitus with ketoacidosis, not stated as uncontrolled",DIABETES_UNCOMPLICATED
E11.60,"Non-insulin-dependent diabetes mellitus with other specified complications, not stated as uncontrolled",DIABETES_COMPLICATED
E11.70,"Non-insulin-dependent diabetes mellitus with multiple complications, not stated as uncontrolled",DIABETES_COMPLICATED
E11.80,"Non-insulin-dependent diabetes mellitus with unspecified complications, not stated as uncontrolled",DIABETES_COMPLICATED
E11.81,"Non-insulin-dependent diabetes mellitus with unspecified complications, stated as uncontrolled",DIABETES_COMPLICATED
E11.90,"Non-insulin-dependent diabetes mellitus without complications, not stated as uncontrolled",DIABETES_UNCOMPLICATED
E11.91,"Non-insulin-dependent diabetes mellitus without complications, stated as uncontrolled",DIABETES_UNCOMPLICATED
E12.00,"Malnutrition-related diabetes mellitus with coma, not stated as uncontrolled",DIABETES_UNCOMPLICATED
E12.01,"Malnutrition-related diabetes mellitus with coma, stated as uncontrolled",DIABETES_UNCOMPLICATED
E12.10,"Malnutrition-related diabetes mellitus with ketoacidosis, not stated as uncontrolled",DIABETES_UNCOMPLICATED
E12.11,"Malnutrition-related diabetes mellitus with ketoacidosis, stated as uncontrolled",DIABETES_UNCOMPLICATED
E12.20,"Malnutrition-related diabetes mellitus with renal complications, not stated as uncontrolled",DIABETES_COMPLICATED
E12.21,"Malnutrition-related diabetes mellitus with renal complications, stated as uncontrolled",DIABETES_COMPLICATED
E12.30,"Malnutrition-related diabetes mellitus with ophthalmic complications, not stated as uncontrolled",DIABETES_COMPLICATED
E12.31,"Malnutrition-related diabetes mellitus with ophthalmic complications, stated as uncontrolled",DIABETES_COMPLICATED
E12.40,"Malnutrition-related diabetes mellitus with neurological complications, not stated as uncontrolled",DIABETES_COMPLICATED
E12.41,"Malnutrition-related diabetes mellitus with neurological complications, stated as uncontrolled",DIABETES_COMPLICATED
E12.50,"Malnutrition-related diabetes mellitus with peripheral circulatory complications, not stated as uncontrolled",DIABETES_COMPLICATED
E12.51,"Malnutrition-related diabetes mellitus with peripheral circulatory complications, stated as uncontrolled",DIABETES_COMPLICATED
E12.60,"Malnutrition-related diabetes mellitus with other specified complications, not stated as uncontrolled",DIABETES_COMPLICATED
E12.61,"Malnutrition-related diabetes mellitus with other specified complications, stated as uncontrolled",DIABETES_COMPLICATED
E12.70,"Malnutrition-related diabetes mellitus with multiple complications, not stated as uncontrolled",DIABETES_COMPLICATED
E12.71,"Malnutrition-related diabetes mellitus with multiple complications, stated as uncontrolled",DIABETES_COMPLICATED
E12.80,"Malnutrition-related diabetes mellitus with unspecified complications, not stated as uncontrolled",DIABETES_COMPLICATED
E12.81,"Malnutrition-related diabetes mellitus with unspecified complications, stated as uncontrolled",DIABETES_COMPLICATED
E12.90,"Malnutrition-related diabetes mellitus without complications, not stated as uncontrolled",DIABETES_UNCOMPLICATED
E12.91,"Malnutrition-related diabetes mellitus without complications, stated as uncontrolled",DIABETES_UNCOMPLICATED
E13.00,"Other specified diabetes mellitus with coma, not stated as uncontrolled",DIABETES_UNCOMPLICATED
E13.10,"Other specified diabetes mellitus with ketoacidosis, not stated as uncontrolled",DIABETES_UNCOMPLICATED
E13.60,"Other specified diabetes mellitus with other specified complications, not stated as uncontrolled",DIABETES_COMPLICATED
E13.70,"Other specified diabetes mellitus with multiple complications, not stated as uncontrolled",DIABETES_COMPLICATED
E13.80,"Other specified diabetes mellitus with unspecified complications, not stated as uncontrolled",DIABETES_COMPLICATED
E13.81,"Other specified diabetes mellitus with unspecified complications, stated as uncontrolled",DIABETES_COMPLICATED
E13.90,"Other specified diabetes mellitus without complications, not stated as uncontrolled",DIABETES_UNCOMPLICATED
E13.91,"Other specified diabetes mellitus without complications, stated as uncontrolled",DIABETES_UNCOMPLICATED
E14.00,"Unspecified diabetes mellitus with coma, not stated as uncontrolled",DIABETES_UNCOMPLICATED
E14.10,"Unspecified diabetes mellitus with ketoacidosis, not stated as uncontrolled",DIABETES_UNCOMPLICATED
E14.60,"Unspecified diabetes mellitus with other specified complications, not stated as uncontrolled",DIABETES_COMPLICATED
E14.70,"Unspecified diabetes mellitus with multiple complications, not stated as uncontrolled",DIABETES_COMPLICATED
E14.80,"Unspecified diabetes mellitus with unspecified complications, not stated as uncontrolled",DIABETES_COMPLICATED
E14.81,"Unspecified diabetes mellitus with unspecified complications, stated as uncontrolled",DIABETES_COMPLICATED
E14.90,"Unspecified diabetes mellitus without complications, not stated as uncontrolled",DIABETES_UNCOMPLICATED
E14.91,"Unspecified diabetes mellitus without complications, stated as uncontrolled",DIABETES_UNCOMPLICATED
G31.81,Mitochondrial cytopathy,OTHER_NEUROLOGICAL_DISORDERS
G31.88,Other specified degenerative diseases of nervous system,OTHER_NEUROLOGICAL_DISORDERS
I26.8,Iatrogenic pulmonary embolism,PULMONARY_CIRCULATION_DISORDERS
A52.0,Cardiovascular syphilis (I98.0*),VALVULAR_DISEASE
C81.,Hodgkin lymphoma,LYMPHOMA
D52.1,Drug-induced folate deficiency anaemia,DEFICIENCY_ANEMIAS
E10.40,Type 1 diabetes mellitus with unspecified neuropathy,DIABETES_COMPLICATED
E10.61,Type 1 diabetes mellitus with specified diabetic musculoskeletal and connective tissue complication,DIABETES_COMPLICATED
E10.62,Type 1 diabetes mellitus with specified skin and subcutaneous tissue complication,DIABETES_COMPLICATED
E10.63,Type 1 diabetes mellitus with specified periodontal complication,DIABETES_COMPLICATED
E11.40,Type 2 diabetes mellitus with unspecified neuropathy,DIABETES_COMPLICATED
E11.61,Type 2 diabetes mellitus with specified diabetic musculoskeletal and connective tissue complication,DIABETES_COMPLICATED
E11.62,Type 2 diabetes mellitus with specified skin and subcutaneous tissue complication,DIABETES_COMPLICATED
E11.63,Type 2 diabetes mellitus with specified periodontal complication,DIABETES_COMPLICATED
E13.01,"Other specified diabetes mellitus with hyperosmolarity, without nonketotic hyperglycaemic-hyperosmolar coma [NKHHC]",DIABETES_UNCOMPLICATED
E13.11,"Other specified diabetes mellitus with ketoacidosis, without coma",DIABETES_UNCOMPLICATED
E13.21,Other specified diabetes mellitus with incipient diabetic nephropathy,DIABETES_COMPLICATED
E13.31,Other specified diabetes mellitus with background retinopathy,DIABETES_COMPLICATED
E13.40,Other specified diabetes mellitus with unspecified neuropathy,DIABETES_COMPLICATED
E13.41,Other specified diabetes mellitus with diabetic mononeuropathy,DIABETES_COMPLICATED
E13.51,"Other specified diabetes mellitus with peripheral angiopathy, without gangrene",DIABETES_COMPLICATED
E13.61,Other specified diabetes mellitus with specified diabetic musculoskeletal and connective tissue complication,DIABETES_COMPLICATED
E13.62,Other specified diabetes mellitus with specified skin and subcutaneous tissue complication,DIABETES_COMPLICATED
E13.63,Other specified diabetes mellitus with specified periodontal complication,DIABETES_COMPLICATED
E13.71,Other specified diabetes mellitus with multiple microvascular and other specified nonvascular complications,DIABETES_COMPLICATED
E14.01,"Unspecified diabetes mellitus with hyperosmolarity, without nonketotic hyperglycaemic-hyperosmolar coma [NKHHC]",DIABETES_UNCOMPLICATED
E14.11,"Unspecified diabetes mellitus with ketoacidosis, without coma",DIABETES_UNCOMPLICATED
E14.21,Unspecified diabetes mellitus with incipient diabetic nephropathy,DIABETES_COMPLICATED
E14.31,Unspecified diabetes mellitus with background retinopathy,DIABETES_COMPLICATED
E14.40,Unspecified diabetes mellitus with unspecified neuropathy,DIABETES_COMPLICATED
E14.41,Unspecified diabetes mellitus with diabetic mononeuropathy,DIABETES_COMPLICATED
E14.51,"Unspecified diabetes mellitus with peripheral angiopathy, without gangrene",DIABETES_COMPLICATED
E14.61,Unspecified diabetes mellitus with specified diabetic musculoskeletal and connective tissue complication,DIABETES_COMPLICATED
E14.62,Unspecified diabetes mellitus with specified skin and subcutaneous tissue complication,DIABETES_COMPLICATED
E14.63,Unspecified diabetes mellitus with specified periodontal complication,DIABETES_COMPLICATED
E14.71,Unspecified diabetes mellitus with multiple microvascular and other specified nonvascular complications,DIABETES_COMPLICATED
F32.0,Mild depressive episode,DEPRESSION
F32.1,Moderate depressive episode,DEPRESSION
F32.2,Severe depressive episode without psychotic symptoms,DEPRESSION
F32.3,Severe depressive episode with psychotic symptoms,DEPRESSION
F32.8,Other depressive episodes,DEPRESSION
F32.9,"Depressive episode, unspecified",DEPRESSION
G40.0,Localisation-related (focal)(partial) idiopathic epilepsy and epileptic syndromes with seizures of localised onset,OTHER_NEUROLOGICAL_DISORDERS
G40.1,Localisation-related (focal)(partial) symptomatic epilepsy and epileptic syndromes with simple partial seizures,OTHER_NEUROLOGICAL_DISORDERS
G40.2,Localisation-related (focal)(partial) symptomatic epilepsy and epileptic syndromes with complex partial seizures,OTHER_NEUROLOGICAL_DISORDERS
G40.3,Generalised idiopathic epilepsy and epileptic syndromes,OTHER_NEUROLOGICAL_DISORDERS
G40.4,Other generalised epilepsy and epileptic syndromes,OTHER_NEUROLOGICAL_DISORDERS
G40.5,Special epileptic syndromes,OTHER_NEUROLOGICAL_DISORDERS
G40.6,"Grand mal seizures, unspecified (with or without petit mal)",OTHER_NEUROLOGICAL_DISORDERS
G40.7,"Petit mal, unspecified, without grand mal seizures",OTHER_NEUROLOGICAL_DISORDERS
G40.8,Other epilepsy,OTHER_NEUROLOGICAL_DISORDERS
G40.9,"Epilepsy, unspecified",OTHER_NEUROLOGICAL_DISORDERS
M05.1,Rheumatoid lung disease,RHEUMATOID_ARTHRITIS
M05.10,"Rheumatoid lung disease, multiple sites",RHEUMATOID_ARTHRITIS
M05.11,"Rheumatoid lung disease, shoulder region",RHEUMATOID_ARTHRITIS
M05.12,"Rheumatoid lung disease, upper arm",RHEUMATOID_ARTHRITIS
M05.13,"Rheumatoid lung disease, forearm",RHEUMATOID_ARTHRITIS
M05.14,"Rheumatoid lung disease, hand",RHEUMATOID_ARTHRITIS
M05.15,"Rheumatoid lung disease, pelvic region and thigh",RHEUMATOID_ARTHRITIS
M05.16,"Rheumatoid lung disease, lower leg",RHEUMATOID_ARTHRITIS
M05.17,"Rheumatoid lung disease, ankle and foot",RHEUMATOID_ARTHRITIS
M05.18,"Rheumatoid lung disease, other site",RHEUMATOID_ARTHRITIS
M05.19,"Rheumatoid lung disease, site unspecified",RHEUMATOID_ARTHRITIS
F23.00,"Acute polymorphic psychotic disorder without symptoms of schizophrenia, without mention of associated acute stress",PSYCHOSES
F23.01,"Acute polymorphic psychotic disorder without symptoms of schizophrenia, with mention of associated acute stress",PSYCHOSES
F23.10,Acute polymorphic psychotic disorder with symptoms of schizophrenia without mention of associated acute stress,PSYCHOSES
F23.11,Acute polymorphic psychotic disorder with symptoms of schizophrenia with mention of associated acute stress,PSYCHOSES
F23.20,Acute schizophrenia-like psychotic disorder without mention of associated acute stress,PSYCHOSES
F23.21,Acute schizophrenia-like psychotic disorder with mention of associated acute stress,PSYCHOSES
F23.30,Other acute predominately delusional psychotic disorders without mention of associated acute stress,PSYCHOSES
F23.31,Other acute predominately delusional psychotic disorders with mention of associated acute stress,PSYCHOSES
F23.80,Other acute and transient psychotic disorders without mention of associated acute stress,PSYCHOSES
F23.81,Other acute and transient psychotic disorders with mention of associated acute stress,PSYCHOSES
F23.90,"Acute and transient psychotic disorder, unspecified, without mention of associated acute stress",PSYCHOSES
F23.91,"Acute and transient psychotic disorder, unspecified, with mention of associated acute stress",PSYCHOSES
Q23.01,Congenital stenosis of aortic valve,VALVULAR_DISEASE
Q23.02,Congenital atresia of aortic valve,VALVULAR_DISEASE
Q23.21,Congenital mitral stenosis,VALVULAR_DISEASE
Q23.22,Congenital mitral atresia,VALVULAR_DISEASE
D68.5,Primary thrombophilia,COAGULOPATHY
D68.6,Other thrombophilia,COAGULOPATHY
E10.02,Type 1 diabetes mellitus with hyperosmolarity with coma,DIABETES_UNCOMPLICATED
F15.00,"Mental and behavioural disorders due to use of other stimulants, including caffeine, acute intoxication, unspecified stimulants",DRUG_ABUSE
F15.01,"Mental and behavioural disorders due to use of other stimulants, including caffeine, acute intoxication, methylamphetamine",DRUG_ABUSE
F15.09,"Mental and behavioural disorders due to use of other stimulants, including caffeine, acute intoxication, other specified stimulants",DRUG_ABUSE
F15.10,"Mental and behavioural disorders due to use of other stimulants, including caffeine, harmful use, unspecified stimulants",DRUG_ABUSE
F15.11,"Mental and behavioural disorders due to use of other stimulants, including caffeine, harmful use, methylamphetamine",DRUG_ABUSE
F15.19,"Mental and behavioural disorders due to use of other stimulants, including caffeine, harmful use, other specified stimulants",DRUG_ABUSE
F15.20,"Mental and behavioural disorders due to use of other stimulants, including caffeine, dependence syndrome, unspecified stimulants",DRUG_ABUSE
F15.21,"Mental and behavioural disorders due to use of other stimulants, including caffeine, dependence syndrome, methylamphetamine",DRUG_ABUSE
F15.29,"Mental and behavioural disorders due to use of other stimulants, including caffeine, dependence syndrome, other specified stimulants",DRUG_ABUSE
F15.30,"Mental and behavioural disorders due to use of other stimulants, including caffeine, withdrawal state, unspecified stimulants",DRUG_ABUSE
F15.31,"Mental and behavioural disorders due to use of other stimulants, including caffeine, withdrawal state, methylamphetamine",DRUG_ABUSE
F15.39,"Mental and behavioural disorders due to use of other stimulants, including caffeine, withdrawal state, other specified stimulants",DRUG_ABUSE
F15.40,"Mental and behavioural disorders due to use of other stimulants, including caffeine, withdrawal state with delirium, unspecified stimulants",DRUG_ABUSE
F15.41,"Mental and behavioural disorders due to use of other stimulants, including caffeine, withdrawal state with delirium, methylamphetamine",DRUG_ABUSE
F15.49,"Mental and behavioural disorders due to use of other stimulants, including caffeine, withdrawal state with delirium, other specified stimulants",DRUG_ABUSE
F15.50,"Mental and behavioural disorders due to use of other stimulants, including caffeine, psychotic disorder, unspecified stimulants",DRUG_ABUSE
F15.51,"Mental and behavioural disorders due to use of other stimulants, including caffeine, psychotic disorder, methylamphetamine",DRUG_ABUSE
F15.59,"Mental and behavioural disorders due to use of other stimulants, including caffeine, psychotic disorder, other specified stimulants",DRUG_ABUSE
F15.60,"Mental and behavioural disorders due to use of other stimulants, including caffeine, amnesic syndrome, unspecified stimulants",DRUG_ABUSE
F15.61,"Mental and behavioural disorders due to use of other stimulants, including caffeine, amnesic syndrome, methylamphetamine",DRUG_ABUSE
F15.69,"Mental and behavioural disorders due to use of other stimulants, including caffeine, amnesic syndrome, other specified stimulants",DRUG_ABUSE
F15.70,"Mental and behavioural disorders due to use of other stimulants, including caffeine, residual and late-onset psychotic disorder, unspecified stimulants",DRUG_ABUSE
F15.71,"Mental and behavioural disorders due to use of other stimulants, including caffeine, residual and late-onset psychotic disorder, methylamphetamine",DRUG_ABUSE
F15.79,"Mental and behavioural disorders due to use of other stimulants, including caffeine, residual and late-onset psychotic disorder, other specified stimulants",DRUG_ABUSE
F15.80,"Mental and behavioural disorders due to use of other stimulants, including caffeine, other mental and behavioural disorders, unspecified stimulants",DRUG_ABUSE
F15.81,"Mental and behavioural disorders due to use of other stimulants, including caffeine, other mental and behavioural disorders, methylamphetamine",DRUG_ABUSE
F15.89,"Mental and behavioural disorders due to use of other stimulants, including caffeine, other mental and behavioural disorders, other specified stimulants",DRUG_ABUSE
F15.90,"Mental and behavioural disorders due to use of other stimulants, including caffeine, unspecified mental and behavioural disorder, unspecified stimulants",DRUG_ABUSE
